model,class,precision,recall,f1,support
logistic_regression,non-suicide,0.9299061469518898,0.9477766287487074,0.9387563484272972,11604.0
logistic_regression,suicide,0.9467533608645988,0.928559117545674,0.9375679791168152,11604.0
naive_bayes,non-suicide,0.9509526504433126,0.8688383316097897,0.908042871296046,11604.0
naive_bayes,suicide,0.879263842614628,0.9551878662530162,0.9156546881453944,11604.0
linear_svm,non-suicide,0.9323110809894952,0.948379869010686,0.9402768284347232,11604.0
linear_svm,suicide,0.9474745703262012,0.9311444329541536,0.9392385257301809,11604.0
calibrated_svm,non-suicide,0.9332146792101026,0.948896932092382,0.9409904713070972,11604.0
calibrated_svm,suicide,0.9480234902270136,0.932092381937263,0.939990440185982,11604.0
voting_classifier,non-suicide,0.938286399041342,0.9446742502585316,0.9414694894146948,11604.0
voting_classifier,suicide,0.944295010845987,0.9378662530162012,0.94106965281681,11604.0
neural_mlp,non-suicide,0.9342929720575783,0.9508790072388832,0.9425130263944649,11604.0
neural_mlp,suicide,0.9499912265309703,0.9331265081006549,0.9414833492739761,11604.0
